p_archivos,ej5-load,ej5-merge,ej6
1,246278057,47994071,241064503
2,108673293,143796333,137644208
3,67658724,170181909,107978897
4,45881456,181212027,88200475
5,48178448,181057376,87546987
6,76801606,189967013,86043881
7,78337541,189834461,86448048
8,85435765,192358029,82871035
9,96708347,192608592,83790520
10,80804853,192935131,81509856
11,86891050,192361239,81969455
12,81143410,196587847,81243412
13,78471529,196501495,81817090
14,72113836,193823983,80302681
15,73915659,196247217,80082661
16,67708802,196454269,81614319
17,72767514,197608292,86647768
18,65088812,197833778,83626460
19,66311804,195867760,79294685
20,54674584,195982576,85781264
21,56168972,194737004,78769596
22,58679336,196394114,78443157
23,58337382,200303144,79104727
24,54049566,196908884,78752358
25,53311779,193470980,80056837
26,56046050,198169828,78338101
27,52981018,196653183,78068289
28,51931837,196089619,79137413
29,59016775,198647950,78023046
30,53935529,198880533,78041912
31,59137570,196348008,79253221
32,56547406,197933770,78688161
33,51641181,199441170,78371496
34,55718879,200161189,78959172
35,51595038,197743462,78149871
36,53130305,199841703,79252139
37,45151934,196643244,78242661
38,48375746,196141698,79139379
39,53725051,197964154,78047488
40,53783893,199064661,77734486
41,53762007,197177922,78765373
42,50426092,197703358,77975131
43,59185926,199443060,78697325
44,53719321,198032841,77779927
45,52953722,196875158,78649816
46,55454560,195929592,78083829
47,49114560,197719991,78819711
48,56527080,196399672,77834507
49,51777197,196244898,78822562
50,50814292,198052346,78063621
51,54020144,196769749,77207849
52,49894148,198199926,78354063
53,45210100,198657569,77235186
54,45722139,199241457,78338984
55,45662474,196705790,77600826
56,45268918,195678805,78514661
57,45377496,197501686,77582948
58,47097803,196823162,77802307
59,43792541,195302296,77760495
60,53112361,197638123,78329479
61,52497810,197029919,77833568
62,46475461,195217719,79135905
63,49502092,198274405,77576213
64,39367195,196465006,78022459
65,50296950,196226831,77791280
66,46649000,199388910,78296906
67,46489007,197875386,77324133
68,47160468,197587473,78335642
69,41993401,195680687,78328806
70,36844560,195125624,78910261
71,48076910,199166301,77844776
72,42618645,195467836,77851801
73,41441917,198986710,78078964
74,47796019,196717354,76823334
75,44463108,199802405,78819372
76,51808227,197857258,78064971
77,41372072,197456126,78388192
78,44043397,196141342,77694653
79,44809576,197208482,79006304
80,47468169,198865129,78888382
81,46867709,197587649,78459284
82,45266463,195053604,78054508
83,40916411,196143024,77872035
84,42066951,200780614,77945318
85,44464722,198813101,79198887
86,47070819,196516215,78309340
87,39168663,196237008,78295998
88,38970305,198034377,77927952
89,43736782,195970241,78991548
90,47920129,208125914,77945945
91,42786985,200844145,78127750
92,40356373,199786982,78542449
93,43663460,198087128,78510430
94,44594031,197473854,78661290
95,42995055,197675010,79500150
96,44979255,200580657,79004282
97,41846669,196350371,78801897
98,37501091,198539257,79348223
99,38637933,198357441,79318622
100,40918415,195602788,80066432
1,242956679,47946221,240820151
2,110588940,144402941,136678383
3,67953384,169933320,105938493
4,46399323,180174198,90298801
5,42889113,183420967,87079953
6,41803193,184889011,84795267
7,95840860,191560341,84397468
8,84528713,191689611,82719572
9,82181412,188948228,81962047
10,87533362,194573741,81160318
11,83537035,195607854,81660731
12,83297384,195474867,80505649
13,84384751,196427987,80944846
14,79932604,195351640,79754788
15,67905044,192603764,80668114
16,61171543,195781383,79899706
17,69393618,194489382,80176066
18,66385979,192481320,79655381
19,66754609,194671944,79655656
20,57932519,195653679,79098236
21,60915425,193855402,79351296
22,63966614,197797086,78185354
23,53725475,195520321,78583841
24,51470092,193866011,79259708
25,51086562,195177219,78722545
26,51294866,196378305,78979268
27,57442828,197490440,78712764
28,54296725,196309638,77658494
29,58336577,196062395,78178265
30,54013767,194940257,77700140
31,55911666,195581571,79117286
32,55386461,197279437,78307143
33,52320078,198020396,76929591
34,50279441,196783885,77567864
35,57384428,195419503,77730753
36,48170186,196540644,78255697
37,52331592,194552255,77879022
38,47393601,195638365,78004530
39,49386486,196188711,78068803
40,56123869,196576180,77021933
41,56274484,196831446,78172915
42,50169238,199340971,78237768
43,59952939,201226073,78154288
44,47718255,195617501,77908093
45,49733123,194548419,77396102
46,52594857,196476854,77720242
47,39943685,198546812,77291616
48,49795549,199428896,77969723
49,50897363,198103964,78372012
50,48956844,196641991,77109514
51,47518523,195253978,77892357
52,53198564,197645151,77871430
53,48164090,196728132,76959209
54,47794753,197023369,77317088
55,59463135,198533115,77691984
56,55238844,198449506,77432245
57,51845305,197157693,78401889
58,50615154,198085920,77996625
59,54444918,198976448,76614131
60,49867301,195315536,78463248
61,50912275,196596645,78035663
62,46036054,196996899,78327342
63,45891032,196174889,79327303
64,52624603,195890848,77693950
65,48277704,195898927,78105167
66,54248729,201006734,77560353
67,43271568,199717499,78957938
68,44503854,198768609,77821964
69,49489694,195449934,77133695
70,43443247,198827802,77072422
71,41039099,197524512,78266198
72,45126693,193452318,78481048
73,42778378,197271487,77928911
74,45474736,194380864,77501223
75,41006626,195929325,78882404
76,46026782,199025048,77792945
77,40276770,194979543,78324794
78,43630136,198861267,78561776
