p_archivos,ej5-load,ej5-merge,ej6
27,67473757,280453621,107279138
28,60917722,284130658,108728910
29,73383501,279631770,106393206
30,64860989,282213807,105809180
31,68106112,282652930,107121893
32,70331382,281033456,107131263
33,66645594,281682552,106460299
34,58992705,284490280,107031421
35,60546526,249040351,90455790
36,58045479,244167789,91162091
37,57657105,243050206,91512878
38,48403272,244960792,91720835
39,60463688,243075950,91201149
40,58772609,245162502,90689501
41,60527195,241798308,90771927
42,54200082,242116018,92206336
43,64024798,242413412,90499040
44,50888766,242122619,91040798
45,53260877,227470385,81862047
46,38418668,219546019,82447062
47,47151666,222216507,81288148
48,50761813,221989535,82051870
49,53937860,220191408,83551330
50,48234019,219807278,81696584
51,49574063,221790523,82178351
52,45655973,222221671,83113835
53,53263673,222521281,82288806
54,45742379,220390845,81989210
55,47798429,218629919,81599398
56,57240624,220573301,79918554
57,49388728,200625459,79309815
58,54384819,203117598,79164869
59,49887241,202294445,79258806
60,57165330,203153526,79876695
61,52648264,202058566,79884759
62,47400139,204146284,79580604
63,45469958,201073778,79546867
64,49512329,202960438,80566647
65,45428312,200595413,79601869
66,54150923,201899263,79947510
67,46273204,201667725,79108903
68,44927302,204486592,81247954
69,43993206,221968061,82142860
70,46321216,220389068,82005588
71,57403916,220762038,82198164
72,42209515,223255744,81888551
73,51388686,220632298,82114035
74,38455056,220899165,80941614
75,45210717,218657885,82707164
76,44372807,222708966,81788057
77,49803332,218798820,81914122
78,51831959,223047901,82725001
79,43248686,223137377,84334041
80,45259316,288475699,105679815
81,38913601,284811182,107567297
82,56903247,283928190,105984889
83,48185056,284739241,106377714
84,51230756,283924684,107538114
85,37772062,283348134,107455243
86,37849266,283095449,107461220
87,53165432,280917647,106519011
88,51539523,283759411,106758784
89,31239171,247837285,91541357
90,45538864,257384111,91596359
91,46568196,245615207,91516042
92,48795327,245517965,91414214
93,40503625,244752344,91280682
94,39141157,242480249,91789999
95,42889344,243334014,90774459
96,53050020,242811245,93772421
97,51275797,240967325,92590838
98,40664281,242449873,91879946
99,29276807,250531762,107033987
100,29448428,284417510,107835596
1,355804924,68735306,350360750
2,157643987,206409936,199630241
3,97157181,246296028,149662253
4,65142833,258997017,123227167
5,51835611,226067739,101585706
6,83427080,232645004,99806516
7,96745216,235236073,100121325
8,99510419,236676024,96506637
9,100960268,237559042,96223395
10,89466823,238595013,97148704
11,86588941,236905813,93225509
12,97119470,237110805,93897220
13,92683476,241748509,94226410
14,93600111,229368233,84935135
15,78912007,218027526,84379255
16,69243778,217658176,83755950
17,75051934,217601654,83042011
18,67803313,216886274,82576942
19,62426000,219285954,84120098
20,59473679,217344655,83327341
21,58268693,217328961,84011378
22,61042313,219958956,83664505
23,59413834,217433832,83022455
24,59125023,221510246,82481069
25,64182549,205920646,80896292
26,60160744,202543669,80731404
27,58873374,197900224,80713959
28,63966111,200257391,80437760
29,56080455,200157135,80203717
30,56121487,199368934,80379218
31,57551561,196520987,79835354
32,60705522,201549770,80319957
33,58259130,202512373,79505610
34,61304872,204311409,79556350
35,54337072,201884991,80126917
36,58892045,202134980,104101464
37,51953970,219506787,82211477
38,52668762,218921114,81824239
39,58544473,217818345,82389616
40,60725401,216594783,82127495
41,44953745,220039497,81114595
42,46619390,221854079,82289831
43,57843919,218395113,80749204
44,52514923,221201041,81169963
45,57059593,219671509,82116821
46,53507183,221300291,81255909
47,43823978,218858390,81828750
48,57355760,278855253,105681311
49,50590648,278681871,105875485
50,70330269,283867117,107284218
51,65950494,282412882,106079014
52,58072208,282849955,105781959
53,47068208,281859084,105874220
54,61218083,280421349,105428073
55,66964034,282266586,105647073
56,52392141,283063355,105900960
57,67160362,242042104,90007785
58,68393600,243436634,91642793
59,57365378,241560195,90699199
60,52817507,241359562,90479171
61,47747696,240760923,90815748
62,60340625,242740393,91398330
63,48791329,242979424,91709430
64,49343911,243182267,90885169
65,51260621,241566461,91309058
66,48514197,242841376,91184849
67,55221035,268623612,105531843
68,34365729,282516086,106577670
69,55819477,279815659,106260195
70,40427534,284073392,107280218
71,57654202,283249165,109118954
72,40226804,284745215,109393390
73,36580642,285136656,113597849
74,55062889,282721413,112913840
75,48240431,282554617,111225834
76,43169224,263518241,91392266
77,43981870,240344100,95918724
78,43479420,244295963,91131250
79,50120895,243193023,91946318
80,44366643,245211726,91316902
81,49224002,245970807,95569411
82,37998052,241300568,91344859
83,37507126,244384637,91249047
84,40368716,244084587,92085202
85,47184778,242505246,91403995
86,40012441,239631663,88109956
87,34549258,219902926,85277894
88,41586671,216222671,83616099
89,47759221,218911821,84949267
90,34212170,231557641,83559003
91,41087272,240447902,86050760
92,42068675,223814962,87988772
93,38710114,222855185,85930343
94,25658491,226689378,82319752
95,32473366,218346007,85121662
96,38196994,218516269,83567408
97,41002088,216362814,84095063
98,41244248,234716280,92913275
99,46846216,245403934,91403459
100,42805238,245901815,93531897
1,295960729,60795425,294272246
2,134129229,177788663,171394480
3,80609771,207433737,126458501
4,55201775,221566587,105807407
5,54446558,283262442,134978649
6,100144625,308741987,134931653
7,75084700,308910201,136956815
8,89828699,314331933,132244313
9,105348169,318753909,130213035
10,104006303,318745671,128562605
11,100985406,314274302,128010561
12,102390277,309388810,111439227
13,81940103,277158027,110326982
14,78751018,280498966,116089340
15,91169229,278627296,121377249
16,76684392,278583494,121534979
17,76793624,281103807,107785012
18,74047235,281115919,133959386
19,79601213,281678834,109410790
20,74892726,282365195,131573666
21,62398659,239913985,91933738
22,54103075,240630717,92832339
23,60713124,241095797,91624951
24,60920538,241237004,91555675
25,57776265,239460790,92671810
26,55645353,241963893,93486007
27,57135597,244375722,93160581
28,68840481,272851396,108059866
29,60121426,244861149,105392280
30,54761319,240912736,92858229
31,66783432,281818494,106358692
32,63827829,281351398,105529084
33,57438700,281370304,108155796
34,63742866,281453137,105633894
35,55441420,280353481,107225475
36,57131239,280284434,106552279
37,64949494,281911238,105341859
38,61112286,281341011,107837700
39,60951220,280884561,96309417
40,53971170,245067855,90226804
41,50998530,242188073,90718896
42,48581588,240499635,91821963
43,43253486,243219924,90908459
44,54202832,247091857,90397449
45,50529660,241280135,91075425
46,53028659,240032592,91185532
47,48806547,242335478,90394453
48,50600938,239034455,90434753
49,56245176,243620457,91229697
50,55695519,223049706,82324977
51,51033059,217418393,82223891
52,51150431,220764568,81977892
53,50584721,220210876,82996884
54,51173630,222267911,81005709
55,39697633,218250743,82435434
56,53171202,218488569,81932222
57,52623955,218516809,81695278
58,49795952,220846583,83227525
59,54103767,221733274,82006303
60,48145507,217947310,83607661
61,49967075,226078598,90148216
62,49793558,241963343,90652299
63,49925802,243501749,90641222
64,46283712,240392197,89814693
65,38134788,244439899,89783787
66,42950243,243777671,90597876
67,48988207,245177289,91352341
68,43347731,242204262,89846433
69,51614469,243286392,90116085
70,50038876,242403951,90451610
71,44499353,239662283,91003363
72,41535144,322335038,122552513
73,59458570,321521637,120224690
74,58125808,318767659,121664786
75,59391481,321484656,120684496
76,48986332,321782144,121476587
77,55905668,322072576,121954775
78,56014609,322642180,120590904
79,38714916,321467241,121211324
80,58031785,281477383,105980342
81,54849411,283522330,106504261
82,50120743,283688369,106425747
83,49868697,282896548,107111401
84,46953757,285821552,105997305
85,49411687,283708437,107395780
86,51590035,279535834,117861843
87,43149684,282365369,106433475
88,39091622,283823653,105133408
89,51846716,240779423,91368731
90,41926218,256615194,91916072
91,39436796,245037537,93217561
92,39131323,243318310,91580664
93,43300187,243979406,91295926
94,39010575,243717615,90993245
95,45782667,240988675,91354365
96,45552651,242846918,90732371
97,49121340,243828736,92113758
98,47107946,242048426,90659996
99,40732859,236276092,81771320
100,39852079,221159271,82500439
1,265774122,54702257,263579168
2,121056729,159372261,149597770
3,71178309,187525487,113083301
4,48009756,200137450,91706520
5,57562239,204635329,91346975
6,76781033,208590139,89361540
7,89569553,202995358,86324964
8,88438378,196578507,84748276
9,84794177,195219516,82653701
10,80980756,197069544,82970414
11,88728624,199451057,82085802
12,73312749,196990192,81375369
13,82348913,197640857,81361221
14,83247846,200796867,81368340
15,74319053,200051254,80431048
16,71214212,199984746,80475571
17,65816935,198306492,79723182
18,64681110,209301008,82008976
19,69399279,219846637,81356997
20,56224946,215884330,82337460
21,57929323,217276958,81820808
22,64410603,218345039,82090759
23,59364736,220999283,82121138
24,61720333,217734759,80853644
25,55642493,217428629,81789337
26,58441261,215873165,81964849
27,59525941,215884288,81928157
28,59509418,220367835,81918670
29,57770768,236846309,104911590
30,67912485,279592199,105780080
31,68586324,282930135,105751679
32,62468607,279676351,104875903
33,64071733,281826547,106515767
34,63634558,280570755,104917857
35,61156008,280791641,105549618
36,58525382,281643506,106028729
37,68077091,281567846,104911153
38,63673370,342726532,150515708
39,77494686,399649379,149601484
40,79000707,397495876,150279655
41,74751992,393971277,150943466
42,78979647,397040567,145976547
43,79177622,393791774,149324473
44,53157766,394636161,128618099
45,64634916,324384163,120880919
46,60229056,322246133,120044231
47,64688910,321052232,120102715
48,61858286,321375376,122030016
49,70449769,320106668,120774259
50,65327942,322884144,121852260
51,62051800,321644335,120602678
52,56146410,320564225,106130078
53,55025915,281324394,105557972
54,60624213,282612250,104846900
55,61325644,282323456,105086229
56,56115014,284737830,104192551
57,65039129,283651255,105205142
58,61087629,281353096,106043449
59,45443181,282762539,104730614
60,54606276,280196115,105333508
61,63003306,275088710,90422600
62,47669730,242794047,89756416
63,47942541,240203369,90887679
64,54278053,241343200,90134125
65,52951339,241615036,91368876
66,48376820,243384281,90886291
67,47028849,242924664,89672245
68,48960582,237968321,89210057
69,47564210,242450585,89457582
70,44959506,240071293,90217172
71,28764620,244063406,89899815
72,47307055,219574471,80911885
73,46595469,222300850,82391316
74,46560608,219672257,81043475
75,46517301,217951947,81258063
76,41840205,220113610,82468360
77,36467758,218603931,82078738
78,52418153,220751308,82143940
79,32953020,218085482,81095621
80,44905571,222509491,81697732
81,27021836,217879954,81821333
82,39265637,221566315,80239129
83,37571346,219500669,80264643
84,38994270,200795328,79130036
85,44245947,199764038,79322884
86,41172241,202716594,79737750
87,34014980,201661750,79360901
88,44409387,202761720,78960078
89,35169695,202216776,78517135
90,24957311,213790984,79374248
91,43861772,202188416,78634687
92,25220038,201884791,79726243
93,42567114,200085982,78875975
94,38488392,199549592,79895013
95,37718247,204639002,79661813
96,35309087,220677809,82033723
97,37423451,220860649,82727404
98,24176976,220770506,82557737
99,44371891,220038851,82345622
100,36551242,219220970,81781068
1,267373001,54613250,266122676
2,120639441,159474942,152297472
3,72493307,190273615,115146380
4,50059087,254464878,121848024
5,57860669,268718177,117784589
6,90806804,270225246,113796186
7,97966509,273619105,116618329
8,98322845,276879879,112736935
9,104697748,277721964,112665040
10,107809588,279123282,110787671
11,94170778,278716632,111346585
12,98270175,263957442,94548746
13,84301533,241325778,93513552
14,81553295,239661144,93503520
15,72362825,238401893,92838288
16,74174982,241580535,91950546
17,77369243,239955577,92308368
18,66038575,241860908,90846499
19,65752715,240622661,91055088
20,61026043,242421345,91683162
21,68364603,239564722,90829619
22,61225456,227896523,81654033
23,51871475,217552800,81246905
24,60136790,221711427,81339104
25,59304278,219065609,82307117
26,55617463,219285255,82049416
27,58333450,217344371,81557582
28,53939724,220763549,81567510
29,54270104,223553164,81773038
30,52485940,218549721,82710369
31,62520054,219028486,82594794
32,58607729,223412173,82327666
33,61570566,226853928,89882890
34,57326276,242579904,90674178
35,60049989,240583165,91495449
36,46807502,242466340,89929586
37,48565208,243530385,90985309
38,53597189,241010302,90782917
