p_archivos,ej5-load,ej5-merge,ej6
27,197130029,388630757,220406969
28,204816309,464280724,209009250
29,208649455,410555889,222126797
30,208207532,461830715,223617332
31,220238382,401751351,190564546
32,199673575,400548491,190952870
33,200868268,337021112,189015289
34,202645455,408215033,193303593
35,201821077,406281466,192168372
36,207164670,349094803,170182559
37,189164644,339162215,166703872
38,182203602,354190342,162350340
39,194021110,345503766,159551342
40,182607530,354865874,161800252
41,192969721,311862766,158443497
42,187765337,320928187,187165505
43,218727421,359442001,188537463
44,231507970,388188464,187879997
45,213886863,358500386,165086660
46,209170931,414322547,182364685
47,222761232,358630247,160023083
48,203894900,352719858,156784644
49,186923305,355324429,165033586
50,193273328,349111606,157823919
51,187356897,299940916,161403903
52,190840008,339882023,161398698
53,198599057,319146053,142399883
54,190791515,322665884,146627224
55,198551535,284363015,140085098
56,190972896,279350458,141352559
57,190300705,322902746,124575939
58,197309985,324494792,142015762
59,161235781,317939604,159981576
60,192902493,329666816,159229079
61,191124978,303061509,157658896
62,188490900,304278216,161215180
63,189157453,357215658,152119791
64,194795659,356940872,159004007
65,198817811,383187149,212182150
66,244246716,465671194,208927122
67,257000954,474946968,211279433
68,233596168,472870141,204605986
69,232051797,469118855,199205165
70,211868324,362430297,174765823
71,225225715,359213339,182214537
72,208999808,416818439,175213631
73,219385192,415861095,173110536
74,228595855,417048905,185309483
75,204046137,346469288,158889767
76,196316235,355962730,156064072
77,181598685,355318855,161905345
78,217951911,311090575,158622371
79,187506716,309504953,119549014
80,210077253,312654358,149715422
81,198725104,322465616,132707296
82,189508788,323978470,135515437
83,176204163,319337772,130285176
84,192691077,324443025,131577900
85,177810901,286950118,139044059
86,191781657,290426014,147080834
87,195519080,347743539,152085158
88,199581301,352120993,145225494
89,204145347,321929491,156276148
90,188684645,371323111,154879557
91,183340618,362325542,148945518
92,195660273,361179770,178879313
93,259882487,477507273,193421211
94,257214007,476097128,199030632
95,237349856,414712483,206027634
96,249367954,429169869,204850535
97,245227075,374096988,175469095
98,244475745,397633793,183482106
99,242028690,417507768,183680529
100,208674365,404036595,179073687
1,503204371,36171819,490404264
2,218676703,190909098,277999725
3,149224148,242330859,225325080
4,110248683,271613779,197249740
5,112303315,271933626,198599209
6,117014392,323150623,184374359
7,124932997,272287337,181512821
8,118758535,260330950,162825867
9,115998755,306890634,158138676
10,120354137,306917604,160476868
11,121551006,310857698,156810697
12,123796283,310725107,155321679
13,126294619,310508833,157720412
14,131023340,310662510,155079567
15,124917080,337205067,167001012
16,140344010,283549229,175155392
17,150569742,341299196,169791066
18,149837537,344732680,170501887
19,145053353,283764141,169073378
20,146032311,348273040,169845054
21,152115628,311167331,225816764
22,220495227,466036266,223788779
23,190957917,464880358,227720940
24,192250825,397171892,226408831
25,202885782,383727953,224553635
26,196829264,406955294,194305979
27,188166099,411617155,190607533
28,189121700,407846872,193343617
29,188741567,340249397,177102451
30,191539135,351791997,178024001
31,195628566,329700834,166009205
32,168470252,348365726,165754007
33,174754608,351051881,165091096
34,174527308,350942693,148540581
35,179461313,305582142,164479862
36,197786301,347200485,164485355
37,179976662,287395255,145617436
38,175848508,270439876,149195736
39,181315964,279349856,145483129
40,182825913,302600048,147310321
41,178331187,270949317,141039882
42,180252950,316083436,145463430
43,179090691,280139204,147702820
44,185000472,308538796,158314551
45,187222882,338513956,161952951
46,196345061,299923182,164650083
47,197434931,294599860,160409235
48,186333975,346181203,159175008
49,214765143,307890965,143515784
50,225717732,451368008,213293069
51,237238831,464430833,203440972
52,244768329,435573516,213516033
53,234095069,468505985,200392735
54,229283125,442162533,184086157
55,223151361,414520321,187898245
56,225553599,406290069,181921292
57,221002796,351261331,185414806
58,218726043,415845406,190457992
59,215199208,376432181,155530969
60,186587772,354492253,156853160
61,208229757,355458630,160995169
62,189534422,356145192,154794844
63,197059317,358316152,131728199
64,192146996,312423125,158146070
65,178564786,350805951,192422245
66,215810488,415595733,185906075
67,216068754,410765210,183683385
68,215371940,414356196,179162244
69,209324763,357801938,177402112
70,206295703,347164614,156219303
71,197309885,309705645,158476130
72,202634901,346295939,153905455
73,198251676,357582722,157072793
74,200290223,356973162,151922249
75,193892455,308822286,157278136
76,216404321,411413848,179719191
77,230238587,389935988,175926475
78,236892498,420100709,140112189
79,221355092,374318387,176394841
80,232166275,398517298,180197880
81,208878816,314073797,149455703
82,197851087,350754702,152190916
83,198473874,356325677,160587312
84,194035840,306354163,147139043
85,196706707,357836252,147721593
86,207373601,310219819,172267348
87,215067730,411636672,163249738
88,223793643,414886772,169391651
89,224277254,415314080,182360636
90,230386387,379619046,178827865
91,227291318,376982180,137739909
92,197765179,358231579,155751072
93,197664765,308634762,147488777
94,205011706,309680052,155401961
95,209212400,349740968,154317451
96,189285444,337251237,154780532
97,199043389,346283608,136562323
98,205560519,305435756,143641879
99,192426010,299969531,137513574
100,202921666,286666481,140766700
1,389871559,30715095,390684990
2,197550944,172236386,252943918
3,135119021,221647734,212646272
4,110547785,271381245,191197994
5,116953114,268532949,189403841
6,110690909,313429305,186101738
7,124038120,278577280,180556004
8,125488643,334355761,175437820
9,129524705,269321159,174625461
10,131757812,382850764,230393907
11,176200993,453334317,230298600
12,174347772,368691026,227757848
13,181834955,458953322,231794192
14,190238466,372989011,228118657
15,178845098,415899206,198431189
16,168939377,401476144,196564418
17,172977834,409093519,198020841
18,162019175,330566494,199332235
19,165621059,334881192,198507060
20,168038829,402138836,168320543
21,145855505,280473280,168923560
22,149092930,348426882,169782616
23,148903954,347612447,169810736
24,152955714,348094637,168028528
25,157798042,345763880,157487890
26,157419237,284659069,174103896
27,180381980,407049209,196457450
28,184705489,336877064,193118209
29,190046072,407863098,184519384
30,189783670,411944894,189303990
31,194664416,333823955,191257754
32,198718347,480954235,251514169
33,268241798,582107190,270128548
34,276773825,518243273,248147764
35,267472085,508176563,247435919
36,226053498,407369222,202818370
37,241242334,424741947,213062792
38,239288289,432538894,215490083
39,226013400,407799256,195074906
40,236557351,403553717,194057201
41,222174743,405938968,187241280
42,206274799,357516573,193654394
43,242759520,404629423,187340952
44,225582751,389557299,186989121
45,256725137,399951109,203453890
46,200321348,326958081,199171104
47,242896413,367175360,183206937
48,233960840,354606731,179928937
49,216973090,334063856,181499033
50,206632117,357202237,187379013
51,248511129,416351070,173985363
52,214827272,404079047,183397799
53,219152063,413061408,219864943
54,241265658,354909852,185854037
55,216198191,410748355,157250766
56,197691588,310173315,161037897
57,194909236,305315068,135453936
58,196693303,303932882,160165247
59,188225940,349195081,161270284
60,193585429,345917701,159972072
61,202870704,342138022,147031900
62,166870582,321856682,140555444
63,191408063,318615254,138329314
64,175140631,271735846,143521655
65,186072840,272046368,119723751
66,182370127,316024320,140887611
67,185794393,282419972,142503646
68,185331521,350669861,153921703
69,195538737,347199462,153605057
70,200166505,356104526,157566480
71,195054873,350612474,153740598
72,208172499,334067900,154895282
73,186874429,301397373,180240953
74,239546675,474958915,207793680
75,239273312,435630461,212207910
76,237509440,475116568,199872142
77,242310895,476008992,217084650
78,244393232,407571515,175707692
79,218840684,414484936,173858088
80,214887848,415070919,170864007
81,214742267,377587988,171844875
82,224308093,352311850,186741479
83,227038867,365239301,155046160
84,209726162,357570340,141258242
85,201559013,302305960,156474222
86,190599746,310070229,154811062
87,199395958,356760389,145983806
88,215477147,358731987,151559242
89,192024265,278915070,136672229
90,186474134,329253633,142286740
91,215549553,325311501,137590064
92,192499746,320857841,132805666
93,187022122,280961021,130626908
94,185246713,324452996,128128725
95,197105495,358052457,142701153
96,198627918,316893768,152363184
97,192738547,358135061,152442759
98,211248565,357567080,153832506
99,187388622,356398165,143723602
100,179605277,308191025,156588882
1,561209416,41875946,574348862
2,292363274,254657627,366929921
3,196824991,322902026,301850383
4,147640196,361509779,255008773
5,147258249,344987473,222818951
6,134477786,376771197,218274530
