p_archivos,ej5,ej6
80,139788225,64269340
81,139729753,64965581
82,148667527,67224680
83,145761570,71609926
84,155587595,71095700
85,155711630,73994471
86,150742521,74413440
87,154226428,73125040
88,171602169,69983986
89,151958309,68919148
90,153949969,67586101
91,154525922,69159955
92,149542145,74026917
93,167485195,71332028
94,158016010,72572992
95,148709890,74479586
96,150777630,70552528
97,145361253,71398464
98,171223916,70969031
99,155960447,71221462
100,172469028,96635620
1,202538381,198798326
2,132054712,152222815
3,110038160,128899273
4,96809310,115609958
5,101346967,113458078
6,110008808,114884739
7,113936412,103014392
8,114028890,108749556
9,118962638,101256810
10,120384554,104938186
11,125256300,99793804
12,147589410,99095806
13,129224708,104485415
14,126806801,99090660
15,143495617,96374516
16,126661950,91693638
17,140740977,88712525
18,120962840,94857516
19,125644071,84449738
20,130449272,85330897
21,129659871,84133651
22,134082928,82421744
23,135162086,88754491
24,133763633,83380533
25,135573762,89049389
26,167190048,83613468
27,142311796,82756176
28,144042899,82381272
29,145558385,84622920
30,151726044,81652209
31,154940348,86434942
32,148659750,81584518
33,156590114,85379648
34,140686303,74773580
35,141701315,68715033
36,140413998,72540033
37,155879403,73148817
38,147937421,74877603
39,166268440,75023207
40,147649871,70543523
41,143470178,73612398
42,143429249,69325732
43,147143649,72346892
44,142713475,70125697
45,143948859,69773762
46,148282778,71273826
47,142841879,70006490
48,144284333,71006033
49,137216277,69223256
50,146372422,76887200
51,141921895,72735830
52,159755265,83432605
53,159043905,80300721
54,161919790,84076244
55,159838308,86363517
56,167284492,83655708
57,172311311,83036148
58,172128301,86311953
59,165670916,83543872
60,196589104,82871056
61,169720756,82903738
62,174017935,82214324
63,162659933,81228302
64,165484060,81425764
65,175557099,78906177
66,161033147,84018398
67,165193757,80714541
68,153065284,72398969
69,152987238,71016132
70,141356661,70766920
71,158107799,71357915
72,150695147,72241802
73,143424007,75362913
74,152769606,72061866
75,149625959,72400946
76,173440310,72202530
77,152592079,70996175
78,160864599,70620164
79,149103036,68333730
80,150115147,72962012
81,151835478,64570644
82,152868502,73132173
83,144319762,66876170
84,163909377,70135340
85,157164885,70905370
86,138562646,62426913
87,135674116,63394256
88,144184523,67278252
89,138782098,63999638
90,138665178,61703710
91,148611940,60300847
92,148937248,64260643
93,143682298,65849302
94,141160069,64992761
95,141230019,61566753
96,133956835,64231731
97,140079926,64100845
98,140203398,63674023
99,138513242,65981515
100,145670463,62657381
1,135545459,134396733
2,89992079,105127568
3,74091584,88691509
4,66008609,76622524
5,69099838,84360863
6,80474782,81497228
7,81519180,78316756
8,93087753,80817874
9,89248057,74319063
10,94646421,78854367
11,91472055,75440394
12,93045946,74439106
13,96646531,72814283
14,122237115,72346042
15,106180357,75502540
16,128015078,78458864
17,119372594,76008799
18,126976437,71535895
19,114554098,73557913
20,116229464,72370962
21,112895178,72114637
22,129821384,73069633
23,119660056,70747573
24,116649317,75636154
25,123506064,73581264
26,118736976,71343168
27,157582384,93649935
28,188029687,98675738
29,163452585,94397451
30,163017748,97214641
31,166324524,98415227
32,170171738,100919460
33,172092681,101049478
34,172359736,98407084
35,177408660,102655649
36,172375680,92450033
37,180325170,96469630
38,179609330,95167376
39,219523203,98904586
40,224242978,97876416
41,176896257,83679740
42,175616003,83918454
43,170133050,84398087
44,168780696,83096460
45,164164048,81270771
46,166606794,83517779
47,163133081,81609629
48,158314700,81079766
49,170436383,80590975
50,177504902,82566580
51,161810506,84821599
52,166443078,85914414
53,169781229,84711759
54,159331924,82278619
55,175730042,78869200
56,171889587,86655329
57,177426555,97059836
58,183894386,93793475
59,186768591,91101881
60,182600384,97027093
61,195062985,97197275
62,200284894,98272403
63,208404675,90452363
64,194892549,92388583
65,183023213,91072177
66,192005148,94991595
67,220158091,97332271
68,192259572,95769688
69,196956234,100143855
70,182689251,96832973
71,172517664,83393371
72,172509758,81454790
73,166647267,77870546
74,172647821,79810058
75,165353972,86174289
76,170409327,86558714
77,177215867,83520178
78,177593060,83744418
79,172228565,83513067
80,168015013,83451988
81,184962934,79506563
82,170006743,74850045
83,175159571,81659260
84,193327024,85593029
85,168230148,83221148
86,158316898,73607051
87,148139322,72469112
88,163640564,75457724
89,157719835,70291614
90,149404965,67238026
91,159045710,73629030
92,144211610,67381388
93,147894419,74877792
94,152682645,72210954
95,158823018,69177755
96,149329864,75635930
97,160021357,73396216
98,150463975,71661068
99,149595887,64053542
100,170839595,71077834
1,151371167,153473178
2,99067975,114378535
3,80573800,90169606
4,65350106,78509864
5,82269075,73080427
6,70084769,75127690
7,78591785,71101378
8,77154170,72074165
9,83232164,72863622
10,90683375,68544077
11,85627659,67075819
12,88559595,68628190
13,90515803,70861549
14,85306700,65954392
15,102273285,65861465
16,94600557,68427350
17,100729950,65148862
18,102000769,69036261
19,99472327,67013002
20,103268076,64864617
21,113105959,65960199
22,124893558,67564629
23,109153812,66244347
24,109322769,65053059
25,113528988,68245249
26,108893562,64950683
27,112757433,66483357
28,129792134,70754785
29,124932620,77024662
30,131213085,70723136
31,128340541,73281177
32,133837433,72731408
33,135915279,71425220
34,135796302,68568469
35,139369829,85832084
36,148242919,87309786
37,158971708,71526916
38,136696974,73382524
39,139016749,74865526
40,142158984,74870775
41,149418945,72580135
42,147382737,68716907
43,154393129,71208126
44,141189357,75878276
45,168618246,74928581
46,154221642,97842809
47,176142217,95420070
48,177246980,99027007
49,178334778,95107847
50,201950305,98383935
51,192390216,94990401
52,178779288,100914448
53,180539347,95872188
54,193477502,93776202
55,193752498,93353043
56,209939618,97771959
57,186190536,99642124
58,199013070,92895316
59,208291146,95798544
60,222084915,148899858
61,282388522,152714011
62,264399387,149876591
63,269112064,138334201
64,274633788,142670028
65,267313799,147777993
66,282296019,127664210
67,276267130,139422737
68,276230542,150567532
69,281821286,134033089
70,227330545,119252748
71,224400424,110019561
72,243257739,118512096
73,258573602,106714259
74,243670465,122971547
75,234508891,116021865
76,232209360,112776753
77,233397768,123012739
78,243268917,117163756
79,230419207,119143822
80,244049511,124429318
81,201330095,95264429
82,190406740,94072879
83,189394676,100901987
84,185959465,94620941
85,205957503,96427100
86,190947096,99807072
87,186881364,100051362
88,191115559,95308123
89,186474251,95197291
90,195246168,93681063
91,197645629,91983959
92,194081731,94351201
93,194099287,97079401
94,185149770,89821695
95,176055004,86810071
96,178596604,78548921
97,172659629,81869142
98,177453770,85885920
99,191539603,84370728
100,189752103,87586208
1,174918806,175477594
2,115249888,136962477
3,97047335,116295869
4,84343794,101206925
5,106278832,100510286
6,91133493,98678879
7,94764013,93266576
8,102369748,91141455
9,101771401,86490917
10,119425026,90149509
11,105010512,78549188
12,93283738,72682907
13,96959987,77628609
14,100546952,72519434
15,104154834,77024672
16,99066968,76911062
17,105459300,74526746
18,107633250,71126241
19,132515562,76125737
20,127888931,76557747
21,117085708,75891013
22,138888216,73956341
23,116928400,74225645
24,119551838,69393901
25,120541859,73986857
26,127746966,74258892
27,141399503,76355039
28,123079866,72236896
29,131117506,73973637
30,134498441,76655473
31,132446739,75054652
32,130341817,69527605
33,124966969,65897806
34,123122347,63524157
35,124217123,65410235
36,127200012,59563150
37,127627192,69902729
38,134975461,66901964
39,133390519,64775895
40,148242316,64107326
41,142429960,64731332
42,132315442,64286453
43,134514716,63595314
44,128901905,66410661
45,129645573,64271181
46,134744013,65645470
47,129319788,66766384
48,146956279,62945603
49,134649617,62398709
50,145185526,67338594
51,126423927,66952260
52,145386151,72796862
53,140345812,69090103
54,140429478,72637321
55,150909884,74101233
56,150998636,70545121
57,148810408,70860887
58,173770832,69516689
59,155992593,74839684
60,143375939,71539724
61,144998171,76780533
62,143610534,70811361
63,156561863,71262267
64,146922114,69280676
65,148273491,69270117
66,146403035,69606663
67,167206703,69895711
68,150361403,69361480
69,152106062,69570729
70,182051958,96726287
71,197257277,96424343
72,205437832,98655637
73,188698697,95607906
74,197149491,95988201
75,190765159,99079133
76,186654287,100841373
77,190780429,95228861
78,191680140,100853551
79,183451358,93802868
80,191104082,96333800
81,191488009,92692379
82,203246442,99895261
83,188422574,94958240
84,173523155,86963548
85,175095430,82559964
86,178699322,83772678
87,171328472,84789749
88,178147117,83025773
89,168502422,83335171
90,170958389,84340833
91,177897454,82238738
92,194738117,81958751
93,174152368,82352766
94,174873948,83218448
95,169891473,83098741
96,180671785,83966013
97,183111297,85776033
98,178381272,84539493
99,155870115,70237840
100,160530607,68428374
1,149950977,153023346
2,99567530,110622465
3,80787156,96558384
4,72750635,85650547
5,85617346,83515156
6,87991525,82779957
7,106725069,80218393
8,108972020,77038958
9,90352478,80282322
10,112768148,79075651
11,95333552,80679919
12,94447175,77848858
13,96866763,77513257
14,101925666,76586542
15,114498498,73412385
16,104293741,73117705
17,103977579,76329147
18,107380237,77138903
19,108157170,75771789
20,124667708,81951895
21,130749567,86710113
22,132685333,83842568
23,132322909,91126001
24,138713846,87197067
25,136661909,89619667
26,153704914,83438290
27,143658825,88789507
28,140859796,83977499
29,160598248,83413525
30,157001487,81061523
31,162035333,86119219
32,152725780,82546697
33,153368935,81042937
34,156864352,86877677
35,163474648,81459696
36,164545135,81278862
37,136835147,68350414
38,142209690,74574652
39,144822412,69321813
40,151001177,70354958
41,139977903,71733870
42,145007618,72583095
43,151388397,70243899
44,150776042,72036766
45,144958647,70029087
46,170945668,70205628
47,141453046,72333347
48,163410133,75720608
49,154487699,69862891
50,156898768,70440686
51,148244037,72246729
52,153383928,74319461
53,145694172,71039252
54,151673447,75462709
55,172198105,81696746
56,170011246,84908838
57,167123633,84278393
58,161214122,86491083
59,163644655,83140962
60,168962070,78918337
61,166877584,82580210
62,169585204,84570509
63,171794938,83112271
64,183641816,84953854
65,162148606,84074449
66,166258882,83993124
67,170795447,78749845
68,192175159,86209592
69,194072363,81385215
70,166669975,73495653
71,151720279,70562320
72,156314666,71507990
73,160871161,75410685
74,142781754,74240785
75,147398333,70850316
76,150299789,69213582
77,143131705,69554852
78,161622822,72131322
79,160498487,68917856
80,142413678,74838651
81,150045038,69259542
82,163380872,69510873
83,153208005,69777077
84,150573783,69118971
85,143220030,69290232
86,170496000,70468831
87,154388730,73297442
88,178765387,82320635
89,173995689,87290048
90,178645466,83235831
91,180754363,83310524
92,162382339,85366883
93,170439442,84301522
94,168855696,83276325
95,172603643,78729816
96,178185602,89405869
97,169827268,84792233
98,172692724,83590214
99,170600011,83708514
100,168115044,80968119
1,173994648,173909237
2,114603235,137264720
3,84700093,97621122
4,73151140,81998103
5,79319948,85392293
6,77680072,87024566
7,98873320,82092808
8,87792752,75671716
9,87785255,79140958
10,87510036,79485376
11,92909439,76031628
12,93986443,75096723
13,97680749,77876433
14,98533850,74593111
15,101186608,76808029
16,102217822,73416865
17,106528522,77077746
18,103128488,72755797
19,104921779,71988503
20,107622451,73964628
21,112092181,76766097
22,108710119,72175871
23,116221158,75609925
24,112874448,72769499
25,132804832,85579598
26,140268312,88773947
27,147397139,84690869
28,143019176,86797823
29,145272843,82448608
30,145614524,82740059
31,144996121,87581652
32,149967388,84674970
33,180836063,84881466
34,155442731,81493435
35,158407648,81892942
36,157468299,89133403
37,159404919,85399055
38,177464728,84757728
39,165299030,80822615
40,165979186,86720673
41,161062938,83076451
42,187357513,121034627
43,220726491,122424626
44,221764275,120103004
45,217640524,122689627
46,261250335,121153960
47,230102672,121109471
48,216407455,121943946
49,224994784,112682096
50,232362489,119605853
51,219394841,117055567
52,262966349,129676015
53,248593224,93046094
54,200260310,91632140
55,200130756,92083702
56,191620393,103400872
57,193044107,95152126
58,206373080,94144316
59,190747572,96523647
60,182497656,92215202
61,194154682,94701932
62,191777777,97176485
63,188387080,94558582
64,194371818,93931547
65,186626146,94789480
66,191629591,96743402
67,199704205,84571917
68,171628650,82969147
69,170746558,86921292
70,176674945,84601332
71,173464460,80022491
72,180252635,81942743
73,186211940,80140999
74,170588517,79695535
75,172287374,85158033
76,169757441,82673997
77,178132345,80800885
78,176349229,79163873
79,165263662,83144073
80,175097266,76968765
81,164711743,83686391
82,181747895,75189151
83,166970535,69577179
84,145874116,70910342
85,150772961,70848134
86,156228356,69092673
87,165040779,70179403
88,151117263,72089539
89,155748830,71780372
90,164844331,71055922
91,152894695,73490499
92,157428114,73888395
93,151240473,74629301
94,156309272,71464911
95,150678354,72171508
96,171412250,69797972
97,151197226,71492412
98,168108015,73015660
99,159078265,75909042
100,139953000,66312318
1,134974893,137461049
2,90004029,105683113
3,74767510,85216138
4,66365071,75906842
5,69930062,79719393
6,69672236,76103786
7,74012477,74119953
8,80632394,71191954
9,90051794,72617535
10,83582361,67047455
11,86781676,71622460
12,88249505,67497226
13,89708710,65364017
14,88949749,69700718
15,106896571,67065792
16,110829362,66923050
17,96769695,69106953
18,95617874,66629365
19,101109201,65737639
20,127918792,64921030
21,102387312,69224527
22,104937404,69541831
23,112331616,71581639
24,126128517,71284863
25,120523646,76485537
26,122012177,76638018
27,128789287,74585796
28,128438678,73810590
29,129963526,76788582
30,134188038,74473902
31,132052021,70733064
32,136806921,71177552
33,139324695,71171134
34,136514796,73155875
35,140642858,71295041
36,136881906,73096723
37,136695373,75446244
38,140799801,70049925
39,141841949,71345178
40,149040952,71097494
41,147352249,70358214
42,149110414,108850881
43,201907068,94804287
44,190938273,92527802
45,178904703,95006225
46,182080749,95112287
47,181863480,96182001
48,185371678,95684434
49,185673025,94044162
50,224408951,93242294
51,181494748,95779022
52,187790367,96906148
53,187676668,92265005
54,189932505,103226138
55,196287014,99190939
56,174509481,82857145
57,161794514,86265514
58,174918056,82869145
59,165697328,85548683
60,179916366,83295763
61,166459373,82521696
62,177662607,87305748
63,164767655,84675015
64,173408966,85241058
65,189671367,86687333
66,167616653,84530601
67,165637137,86791673
68,167216170,85099894
69,167056018,85237452
70,170245642,83501484
71,172919246,82410726
72,150956539,69899773
73,146376742,71954313
74,149599556,75509618
75,147026540,71815151
76,148396584,75387992
77,169852410,74176187
78,143976193,69930349
79,148886550,75137224
80,149468953,68738891
81,150140661,73357101
82,157621508,70886727
83,152885420,71318349
84,159040250,70101238
85,155972009,69289382
86,169589121,68719055
87,151600140,69295083
88,147194229,68922508
89,167850143,64051090
90,140435925,65314809
91,140804692,66063808
92,158769762,60072729
93,141870969,64490367
94,161322900,66249560
95,164329749,67294700
96,142744332,59526664
97,136844579,64131651
98,141565750,62510246
99,142621200,60021159
100,156347000,63596587
1,135575102,134437581
2,90410948,102422598
3,74121545,91369220
4,66474371,77064365
5,77273607,76939950
6,70252997,75723353
7,76070720,74458986
8,77500876,73901359
9,82640483,68391158
10,88924382,77866553
11,107029480,72651033
12,112356230,80769963
13,97445583,74009247
14,96993129,77183561
15,101610148,72194073
16,123773863,77056534
17,111703859,71977779
18,107378640,77897561
19,112476176,76953476
20,111230010,70530534
21,127656668,72896595
22,114389374,76823474
23,123002166,76295408
24,122028437,72379305
25,125427431,73602900
26,121591071,73517948
27,128825075,70983237
28,123569394,71418879
29,129854455,72046798
30,128180624,73582815
31,186031476,94533373
32,177188979,97924106
33,178243392,99902219
34,176579047,95654191
35,175754758,96403845
36,175275263,99952654
37,180467228,101976150
38,179007713,104426214
39,195740653,97514333
40,186480885,98475982
41,203248530,97392122
42,185399881,93986788
43,189664104,95609433
44,204516507,98584319
45,250080305,135368556
46,297139028,146016622
47,265484746,152016632
48,272454023,143945810
49,253553190,152494083
50,310926200,144004897
51,266222038,139457875
52,269861729,144251087
53,273571048,152283769
54,269309222,118495114
55,256050759,115991939
56,217642811,123630452
57,227999353,113140610
58,260824948,122524757
59,237214050,117735667
60,230445180,126052591
61,226377791,113015781
62,233552462,118540685
63,237362998,111421264
64,229752528,118640573
65,235257001,105878150
66,179873761,95000941
67,197332957,97286111
68,206023552,93903193
69,180582070,98217955
70,215263015,95617326
71,216715241,100878577
72,181354848,96685550
73,190304486,95221544
74,217018315,93873223
75,182539468,97277001
76,215665226,94628208
77,192052690,96554639
78,193843886,95528927
79,190802446,85557134
80,173304429,85214071
81,170989320,82049701
82,172268851,86448794
83,173235757,81125467
84,177574858,82843276
85,171145386,85282583
86,164351765,82155009
87,184403801,86183977
88,174339561,86230838
89,169651989,83080662
90,181132354,84452305
91,171651098,82480922
92,180995321,86989114
93,169709966,83720742
94,167645718,70476470
95,149461487,73982762
96,143749720,70818992
97,152316259,73328612
98,156383987,73749790
99,148689371,71925641
100,148960328,71273699
1,152247723,152273677
2,101612492,112700508
3,81226639,95502649
4,72843003,89578552
5,83709658,87098660
6,83918863,84176245
7,83795118,81476330
8,103066939,81178780
9,89524498,80516825
10,90975925,76642394
11,96270373,81195007
12,103124601,73430290
13,94955819,74496444
14,98952482,70525581
15,91509052,68813301
16,94491801,66129478
17,92901845,66404277
18,100921169,65229745
19,102172184,66824620
20,99751646,70123664
21,101832546,68411424
22,100847595,68619920
23,106002983,65110639
24,112767713,64529018
25,110017080,63974421
26,112680459,64485554
27,116092343,65785539
28,119514995,63748784
29,125221488,66130140
30,123262782,68415965
31,116098777,66504567
32,125209025,65492195
33,125347971,64512360
34,124705707,63872143
35,130726343,64869455
36,129556862,64474651
37,137897979,70452832
38,141486342,72650629
39,148047386,74445893
40,147319448,73855838
41,144353136,72584281
42,144864134,75328470
43,142647203,71106903
44,145215165,72543068
45,151510259,72441173
46,144144825,72829387
47,144368214,75340095
48,155629529,69694131
49,143716371,69316953
50,149310882,73206482
51,145492309,74136814
52,151601521,71559929
53,147179912,72949480
54,152155199,75374428
55,180814897,100200667
56,191164785,95034319
57,198152604,97662941
58,213422863,94875323
59,188298246,94668110
60,189279856,97403917
61,194624135,95376181
62,184234883,90914872
63,187680313,101982658
64,189098297,97795183
65,187294513,99515849
66,205481713,102921571
67,187756636,91472689
68,193678862,93090788
69,169380097,83609565
70,163201671,80739673
71,180847113,90364830
72,165907586,85511785
73,169596081,82342914
74,175446602,85973308
75,168442266,88088380
76,167156073,86232470
77,174892084,80179724
78,168744080,84562915
79,181829031,83524409
80,163345398,84678854
81,162763884,81146242
82,171533155,83200549
83,169252246,84850067
84,183773166,71616039
85,154271375,73675347
86,155635470,72819441
87,154631398,69322437
88,139239412,74080784
89,171703025,68508569
90,154255050,71625339
91,153907503,75174004
92,150346813,71310980
93,149191009,70450293
94,146459184,72747149
95,156164372,72342221
96,153180603,73196619
97,153939717,71905584
98,155880046,70456900
99,156661779,70761291
100,153983357,71315330
1,149934887,137310406
2,88772991,105813830
3,74211963,85689400
4,65340612,80883328
5,68518655,72441930
6,74343254,72395121
7,75345904,69855725
8,80220854,67927111
9,84736230,70454375
10,84791976,66731947
11,83776355,66312154
12,84671862,67546544
13,85859553,69944483
14,96372282,65530489
15,86631676,67289821
16,113561248,66719994
17,104185911,70584418
18,96999481,71657368
19,99806939,68491689
20,99923528,66539519
21,102451363,64983139
22,105071828,67035902
23,110995090,69243306
24,106356638,68173401
25,112182512,68931306
26,134757305,74211914
27,119644919,76620752
28,124525327,75500776
29,127374939,71520687
30,128902734,71483110
31,134837724,73760693
32,133239919,72861801
33,135775823,70664954
34,132984662,70484496
35,133565491,75129987
36,145826370,73904253
37,144289015,78367366
38,137510506,74317381
39,136713620,75108495
40,152087239,74848305
41,144711554,74585577
42,146030234,70584771
43,143610558,75084919
44,149385351,86380618
45,177494035,93520031
46,190223873,96065680
47,177164494,94845764
48,183757756,94091209
49,206937998,97298951
50,182427232,95933772
51,186226855,95423385
52,192420606,97447990
53,183474107,95268660
54,189588697,95610422
55,192412299,92500623
56,192207642,100255715
57,189747281,100154614
58,192361903,122752606
59,324643906,147901826
60,273679429,143175636
61,274701181,146797847
62,314563094,143832012
63,270367617,146170156
64,271002035,141983058
65,270276656,140274571
66,279149926,143198871
67,275939892,141677772
68,240362348,115381054
69,225315763,117609663
70,231943579,117752199
71,225988410,124648129
72,237202669,114451682
73,231322820,125438366
74,272166491,115436402
75,229770123,115338429
76,232962848,120593987
77,220101655,108299171
78,224368797,121984091
79,216864718,95159701
80,195424955,99224834
81,182992271,92977098
82,197076464,97851494
83,188866107,92814872
84,199537736,96689191
85,198016212,94433412
86,203025389,92374603
87,191730801,92779318
88,199003297,93948460
89,201408848,99541146
90,186944061,99194126
91,191992250,94535011
92,198601757,92491670
93,170583051,84297763
94,178362347,86186914
95,196867071,82343008
96,172090499,81929207
97,176213221,78951435
98,179566339,82478206
99,168682454,75899984
100,178566327,80597172
1,179490418,177088801
2,115163584,133881639
3,96784009,118303704
4,85251811,100456231
5,95867344,94716074
6,93959661,92802159
7,99072258,93989911
8,99344586,90700271
9,100844462,80631103
10,92038535,79923198
11,96823286,79993027
12,91152696,74022360
13,93542423,74749624
14,98605874,71763633
15,108190929,76840355
16,106550428,74634608
17,107898344,78009700
18,106061694,72774869
19,107396942,77103162
20,110347975,76231867
21,114121211,76520451
22,118035538,74360517
23,117423143,70368612
24,130643869,73205313
25,120232654,71682427
26,121784805,69993631
27,119087088,76992611
28,130781404,72435326
29,129545364,71859475
30,132103836,72502601
31,122960914,63477488
32,122050217,64608271
33,126522080,62424244
34,119770171,70024132
35,125369008,66441104
36,133103611,67894245
37,127611929,66515681
38,147249992,68440062
39,132363474,66312090
40,130608292,64899983
41,135588752,65229972
42,125777115,66049561
43,153975840,62307602
44,138072681,68942604
45,140375219,65949377
46,130618954,65939634
47,143951977,65729499
48,130294623,64509246
49,129285874,64446813
50,147610976,71273637
51,141659792,72565072
52,163465970,70187253
53,144256768,75484611
54,154776077,71135585
55,154029558,71743817
56,149023609,72203986
57,145561519,69049175
58,147527184,70018410
59,140221702,70763444
60,164065234,72221906
61,154510560,73810586
62,155669075,71383412
63,150004253,73612302
64,153430582,70739034
65,158752199,72808907
66,156310554,70565656
67,152745393,71844846
68,145403911,64735380
69,142486898,62878768
70,144325445,66218074
71,143113359,62717547
72,141181173,68343872
73,144741826,63567737
74,150459399,65574409
75,133260880,64122047
76,137621347,66687176
77,139252858,61904450
78,136721314,63480456
79,152827787,62760829
80,144013111,63309907
81,130134377,63455761
82,141256827,66276094
83,148017850,61764126
84,134690639,61609750
85,141042523,68744674
86,139239106,62893276
87,139341524,69636398
88,152895573,73330365
89,148198369,68336917
90,147182834,71919371
91,149016168,70271429
92,160280137,75988226
93,141473208,73880348
94,147394733,70577160
95,159694607,73725876
96,162620864,73674361
97,154259980,70111551
98,144772593,71571753
99,151719323,71032797
100,147906312,73767101
1,150968129,150510892
2,101389972,117980654
3,81551210,96707065
4,72967178,88282217
5,83012957,103862753
6,120099291,109244366
7,104532466,108213564
8,119097309,108163155
9,122102383,100720093
10,121060496,101087396
11,124038794,99892609
12,145955445,105342319
13,133542490,96356104
14,129284219,104770685
15,128390733,103752039
16,132559569,104364045
17,160500478,96245776
18,137350107,103391704
19,141694818,102483728
20,138997653,100800912
21,147345894,95991862
22,174531437,84196582
23,130681899,88120526
24,137253071,88773723
25,163168910,81744032
26,139369921,86465421
27,139394794,84205758
28,149305013,83137175
29,145253031,89394459
30,156236558,83814882
31,151262499,79255843
32,160672988,86988707
33,165309131,82116929
34,158155994,85193339
35,172836648,86366805
36,154931846,86746245
37,163806565,86202280
38,163199911,81859035
39,198301846,95284504
40,188450024,95542826
41,213301263,100345269
42,181751239,95793669
43,187711887,94500771
44,178662589,98770270
45,183352722,95628092
46,205695984,102610827
47,192435684,101882303
48,204001063,101316137
49,184963821,94069149
50,190339012,97288935
51,181859412,98635917
52,196282115,97573401
53,167007456,84752130
54,166003954,86694282
55,191458978,83670553
56,183109298,84163098
57,164258775,83142403
58,187744624,81921249
59,189175898,85024167
60,164974004,82837540
61,193557521,83916592
62,166427430,82632160
63,180541453,84174682
64,170172895,82102497
65,172585923,81257161
66,190135781,84322797
67,161624253,84105284
68,152570965,73977185
69,147300814,70009409
70,150643606,72555119
71,147599376,70870076
72,147820653,73617927
73,147919317,69672465
74,147015879,69597539
75,151190236,70349186
76,143898999,71760595
77,153558147,73816690
78,154619336,72495996
79,150945625,72955668
80,154346959,70975242
81,154671838,71176181
82,145331619,72327584
83,171540034,69999471
84,157404562,72431122
85,145887115,68262990
86,147541510,60509226
87,148013849,63437319
88,150903893,66811254
89,148072378,66716361
90,142922279,64362904
91,145991011,64986527
92,142388358,63277053
93,145826914,61123713
94,139577059,63510358
95,144841269,63762618
96,147834907,60833719
97,135764005,64383068
98,157603428,66074509
99,145807700,64679469
100,152958858,66078081
1,136707648,138406031
2,89647976,107083326
3,73508750,85757121
4,78932158,75152887
5,79388626,84823306
6,77540667,84981690
7,85964834,82450853
8,105453072,76304643
9,90120879,78301162
10,90413656,79838389
11,94852672,74735618
12,98634286,73164154
13,99726488,74089628
14,118967951,73117156
15,101522826,72890374
16,103186328,75366433
17,115788485,70687832
18,101550003,75753398
19,121560993,75723082
20,110478955,74857109
21,111844882,76150576
22,111736379,76306334
23,129204598,72064814
24,120482910,75408286
25,121708246,77917017
26,114580599,72715592
27,149416920,95380103
28,155241055,94737632
29,164546313,98227640
30,171200034,92602451
31,184254380,93366082
32,167663459,94382890
33,167835669,98494547
34,172689565,96781159
35,177213096,95431989
36,180527872,100891993
37,177565318,92111545
38,178767051,95138199
39,185824883,95753323
40,180300385,92522458
41,180032339,109551887
42,266784660,138759016
43,274707309,138011810
44,283839464,139454591
45,264619021,151774833
46,301491517,141532457
47,276001219,149247607
48,262864615,141084860
49,259470203,144056181
50,282143223,139793009
51,262032244,120191200
52,244544478,119202414
53,222678655,115246609
54,216832435,114731998
55,231386275,123535302
56,230871286,122970390
57,232874931,112642063
58,233541945,116214060
59,225100918,115966370
60,234338580,124969123
61,228006575,120987209
62,221486289,110841121
63,207726477,94699099
64,205921536,98571327
65,192279332,98649355
66,184554590,97166121
67,184597609,93078531
68,196863247,97035700
69,189094934,92483719
70,207319456,95094928
71,184370356,93904040
72,186538084,96150559
73,201085627,93720777
74,183393761,97203954
75,196270482,96171320
76,190931120,87813189
77,179268473,84224639
78,174016526,79600305
79,168031978,86149670
80,175775818,83462281
81,168463368,81370613
82,164634676,81621833
83,173602731,85234218
84,204004870,82181788
85,171786350,84274773
86,169280890,82763515
87,172038653,82516080
88,195338561,83392991
89,169732401,83347441
90,172627611,82725187
91,183618213,76883600
92,170902613,70169725
93,151478972,71517033
94,147939967,67006712
95,145283096,69653039
96,153099314,69137234
97,153352321,70043897
98,147488856,70755321
99,156401679,71254658
100,156403640,72775876
1,151177846,149707072
2,109961978,112613335
3,82416560,100272533
4,72421436,86698570
5,91097973,84258965
6,80672160,80657141
7,87230740,77749186
8,108272946,78369974
9,111520098,74757654
10,93764802,72946781
11,85357152,72913346
12,86147846,69660133
13,100913183,70435146
14,93655320,66405604
15,93595628,72415571
16,94958610,65809796
17,95082945,68174518
18,100312945,66909235
19,102063142,66770016
20,101318801,65346305
21,100189545,65159228
22,106011422,65851283
23,105224914,63713967
24,109933231,64360456
25,119060844,67064723
26,113147240,69142511
27,116012654,67545448
28,113559322,67607675
29,119764988,63651296
30,118096253,64133412
31,129995490,64389308
32,144316452,64340963
33,124639165,72313624
34,138838888,75453796
35,142774828,69109933
36,139127285,71817715
37,138915776,74470541
38,138466459,70234524
39,142142311,69172310
40,156063321,74108366
41,144666765,68281901
42,145920344,70573530
43,150342873,73599988
44,148393511,74924289
45,141199856,72237934
46,146359273,70111789
47,144268978,67409032
48,149592422,75348733
49,145854495,72291640
50,152630551,69545657
51,149343704,72564016
52,169845390,101972190
53,188465092,100867861
54,193477695,97244591
55,214076321,92541757
56,217678191,100474516
57,194022451,92740748
58,188889742,93848820
59,188414467,100412706
60,221143624,93995667
61,182113930,97391496
62,193624252,93542982
63,204104827,92374506
64,187862455,95940275
65,187092147,84225482
66,166856546,88563557
67,166848157,85006728
68,169463323,82344983
69,174156067,85143702
70,157559249,87702015
71,164887278,83276633
72,180071571,82912520
73,176744799,81053255
74,167761381,81407933
75,179045384,83180231
76,167907377,83775882
77,165637911,80211465
